food_item,serving_size,calories (kcal),protein (g),protein (g),protein (g),protein (g),carbohydrate (g),sugar (g)
홍어무침,200,198.94,17.85,2.63,17.85,2.63,25.95,14.46
고추장불고기삼각김밥,100,165.29,3.66,1.58,3.66,1.58,34.11,0.21
농어초밥,250,396.74,17.43,1.34,17.43,1.34,78.75,13.01
류산슬덮밥,550,574.99,26.96,19.04,26.96,19.04,73.95,0.42
멸치주먹밥,150,312.0,9.0,6.6,9.0,6.6,54.3,0.9
문어초밥,250,392.23,14.61,0.74,14.61,0.74,81.78,13.38
삼선볶음밥,400,686.11,26.24,26.46,26.24,26.46,85.75,1.58
새우초밥,250,387.67,16.8,0.75,16.8,0.75,78.42,11.65
새우튀김롤,300,606.5,14.47,18.17,14.47,18.17,96.28,11.14
샐러드김밥,250,405.95,9.62,13.52,9.62,13.52,61.45,3.42
생선초밥(광어),300,453.78,27.07,3.92,27.07,3.92,77.55,7.7
생선초밥(모듬),300,461.97,25.42,6.06,25.42,6.06,76.43,8.65
소고기국밥,700,330.53,21.8,8.1,21.8,8.1,42.6,2.8
소고기김밥,250,400.61,15.98,9.63,15.98,9.63,62.52,0.84
송이덮밥,600,581.81,18.21,14.06,18.21,14.06,95.6,2.27
숯불갈비삼각김밥,100,161.24,4.0,1.67,4.0,1.67,32.55,0.16
연어롤,300,510.19,18.57,15.4,18.57,15.4,74.32,8.47
연어초밥,250,447.32,18.88,9.74,18.88,9.74,71.04,12.88
오곡밥,250,388.82,11.95,1.3,11.95,1.3,82.32,0.17
자장밥,500,741.66,15.24,22.28,15.24,22.28,120.06,5.37
잡탕밥,750,777.44,44.12,20.13,44.12,20.13,104.94,0.48
장어덮밥,400,716.54,30.09,22.98,30.09,22.98,97.35,5.59
장어초밥,250,486.26,16.52,10.83,16.52,10.83,80.68,13.67
참치덮밥,500,679.1,29.2,16.73,29.2,16.73,102.93,2.98
참치마요네즈삼각김밥,100,172.4,3.94,3.2,3.94,3.2,31.95,0.02
충무김밥,400,583.93,23.42,5.96,23.42,5.96,109.16,17.19
캘리포니아롤,300,487.64,12.33,9.05,12.33,9.05,89.23,8.9
한치초밥,250,374.18,13.71,0.85,13.71,0.85,77.92,13.13
해물덮밥,700,771.93,42.04,22.44,42.04,22.44,100.45,1.19
해물볶음밥,400,705.22,25.1,27.0,25.1,27.0,90.46,1.22
회덮밥,500,683.02,30.21,16.55,30.21,16.55,103.3,10.93
깻잎나물볶음,200,206.0,7.5,14.4,7.5,14.4,11.5,0.6
돼지고기볶음,200,350.67,22.96,20.67,22.96,20.67,18.21,8.2
돼지껍데기볶음,150,352.0,25.8,16.7,25.8,16.7,24.5,5.5
두부김치,250,288.21,19.47,17.11,19.47,17.11,14.08,1.49
머위나물볶음,150,108.0,3.5,7.0,3.5,7.0,7.6,1.8
멸치풋고추볶음,20,52.38,4.65,2.24,4.65,2.24,3.41,1.43
소세지볶음,200,471.0,18.8,29.9,18.8,29.9,31.8,8.9
순대볶음,400,582.0,20.7,21.3,20.7,21.3,76.7,5.4
양송이버섯볶음,150,136.0,4.5,8.3,4.5,8.3,11.0,1.2
오삼불고기,200,363.0,25.6,19.9,25.6,19.9,20.5,7.6
주꾸미볶음,200,211.41,18.33,5.2,18.33,5.2,22.82,5.06
표고버섯볶음,150,142.0,4.5,6.7,4.5,6.7,15.8,2.6
해물볶음,400,419.06,38.2,15.3,38.2,15.3,32.2,7.4
곰보빵,70,277.34,6.31,9.27,6.31,9.27,42.16,11.73
만주,70,222.49,5.13,1.64,5.13,1.64,46.8,22.45
버터크림빵,60,229.96,4.91,11.04,4.91,11.04,27.74,7.19
불고기피자,200,505.0,27.4,16.7,27.4,16.7,61.2,9.2
참치샌드위치,250,555.0,23.3,35.1,23.3,35.1,36.5,10.1
찹쌀도우넛,70,207.05,3.53,3.68,3.53,3.68,39.95,12.13
채소고로케,100,300.65,7.13,16.38,7.13,16.38,31.19,3.37
초콜릿케이크,100,420.24,5.31,24.96,5.31,24.96,43.6,23.13
치즈케이크,100,329.14,7.23,20.63,7.23,20.63,28.64,15.28
치즈피자,200,553.0,31.4,15.8,31.4,15.8,71.2,6.8
페이스트리빵,70,319.59,5.99,18.4,5.99,18.4,32.52,5.75
페퍼로니피자,200,532.0,29.4,14.8,29.4,14.8,70.3,7.5
포테이토피자,250,628.0,28.0,25.5,28.0,25.5,71.6,8.5
수정과,150,133.0,0.6,5.47,0.6,5.47,20.34,20.69
식혜,150,130.14,2.3,2.63,2.3,2.63,24.32,17.04
간장마늘쫑장아찌,50,30.0,1.0,0.5,1.0,0.5,5.4,3.9
고추장마늘쫑장아찌,50,55.0,1.3,0.9,1.3,0.9,10.5,5.6
매실장아찌,30,72.88,0.5,0.13,0.5,0.13,17.43,11.45
무장아찌,30,23.92,0.44,0.23,0.44,0.23,5.03,2.88
낙지꼬지,80,75.35,13.14,1.28,13.14,1.28,2.83,0.0
소고기산적,200,453.07,48.41,25.57,48.41,25.57,7.33,0.0
소라산적,80,120.1,17.92,2.51,17.92,2.51,6.45,0.85
오징어산적,80,101.71,17.37,1.98,17.37,1.98,3.6,0.92
홍합산적,80,156.66,17.78,4.8,17.78,4.8,10.58,3.34
가자미전,150,230.28,25.76,11.06,25.76,11.06,6.91,0.3
고추전,150,274.69,12.91,17.22,12.91,17.22,17.01,2.17
굴전,100,195.0,10.6,10.5,10.6,10.5,14.5,1.3
깻잎전,150,361.1,17.74,25.78,17.74,25.78,14.54,1.06
녹두빈대떡,100,207.94,7.94,10.27,7.94,10.27,20.93,0.1
동그랑땡(육원전),150,309.2,19.62,20.0,19.62,20.0,12.68,0.98
동태전,150,268.05,22.64,15.04,22.64,15.04,10.54,0.22
두부전,150,254.64,20.46,15.87,20.46,15.87,7.5,0.03
미나리전,150,226.41,5.24,7.62,5.24,7.62,34.23,1.74
배추전,150,240.75,5.17,8.67,5.17,8.67,35.52,5.02
버섯전,150,240.69,10.52,14.87,10.52,14.87,16.19,2.74
야채전,100,194.0,5.4,9.5,5.4,9.5,21.6,2.4
파전,150,292.8,6.83,14.03,6.83,14.03,34.81,0.79
햄부침,100,244.0,11.3,17.1,11.3,17.1,11.3,1.0
호박부침개,100,129.0,3.9,8.1,3.9,8.1,10.1,3.6
호박전,150,208.1,6.48,13.09,6.48,13.09,16.1,2.85
화양적,150,272.65,13.58,14.77,13.58,14.77,21.35,1.21
가자미조림,300,297.98,37.1,7.1,37.1,7.1,21.5,10.5
고추조림,100,111.0,3.3,4.9,3.3,4.9,13.4,7.1
동태조림,250,276.0,40.8,4.7,40.8,4.7,17.4,10.2
돼지고기메추리알장조림,50,63.49,8.34,1.85,8.34,1.85,3.37,1.27
북어조림,100,181.86,20.83,3.33,20.83,3.33,17.14,8.2
소고기메추리알장조림,50,60.65,8.14,1.84,8.14,1.84,2.88,0.71
조기조림,300,384.0,41.1,18.8,41.1,18.8,12.8,4.5
게살죽,800,564.83,17.9,7.09,17.9,7.09,107.35,0.17
깨죽,800,515.35,13.66,15.94,13.66,15.94,79.31,3.59
소고기버섯죽,800,578.28,18.75,7.47,18.75,7.47,109.03,0.26
잣죽,700,874.48,19.18,19.63,19.18,19.63,155.28,2.36
참치죽,800,659.6,24.19,16.06,24.19,16.06,104.57,1.36
고등어찌개,600,601.62,48.9,33.7,48.9,33.7,25.6,7.4
김치찌개,400,243.03,15.07,15.0,15.07,15.0,11.93,3.02
꽁치찌개,300,355.0,24.0,23.3,24.0,23.3,12.2,5.9
두부전골,500,315.16,25.6,16.1,25.6,16.1,17.1,3.5
버섯찌개,400,167.56,14.7,5.2,14.7,5.2,15.4,4.4
새우젓두부찌개,300,166.0,16.2,8.1,16.2,8.1,7.2,1.7
소곱창전골,600,529.0,41.6,27.3,41.6,27.3,29.2,2.3
햄김치찌개,300,189.0,11.1,10.4,11.1,10.4,12.7,3.6
호박찌개,300,95.0,5.6,2.6,5.6,2.6,12.2,5.8
대구찜,500,376.42,51.7,7.9,51.7,7.9,24.7,5.7
동태찜,500,394.32,50.9,9.7,50.9,9.7,25.8,5.7
돼지등갈비찜,450,961.04,72.1,49.2,72.1,49.2,57.4,24.1
돼지머리고기,200,650.0,42.4,52.0,42.4,52.0,3.5,0.1
북어찜,150,235.0,28.1,5.7,28.1,5.7,18.0,6.4
소갈비찜,250,494.6,49.86,26.96,49.86,26.96,13.14,4.32
순대,300,542.42,19.56,25.64,19.56,25.64,58.36,3.5
아구찜,400,310.87,48.3,5.31,48.3,5.31,17.47,0.69
조기찜,100,182.12,20.06,10.59,20.06,10.59,1.64,0.0
참꼬막,80,90.79,12.47,2.5,12.47,2.5,4.59,0.0
해물찜,500,400.08,42.6,9.8,42.6,9.8,35.4,5.5
광어매운탕,600,419.79,58.42,16.62,58.42,16.62,9.13,1.42
낙지탕,600,187.8,29.4,3.2,29.4,3.2,10.4,1.9
대구매운탕,600,361.75,57.36,7.21,57.36,7.21,16.84,1.09
대구지리탕,600,262.02,41.6,6.2,41.6,6.2,9.9,1.5
메기매운탕,600,400.0,28.6,10.2,28.6,10.2,48.6,5.7
복지리탕,600,232.05,41.7,2.7,41.7,2.7,10.3,1.4
소탕,150,86.37,7.66,5.35,7.66,5.35,1.9,0.03
아구탕,600,246.07,37.8,4.9,37.8,4.9,12.8,1.8
어탕,150,85.87,12.7,3.09,12.7,3.09,1.82,0.0
연포탕,1000,541.64,94.9,9.03,94.9,9.03,20.19,0.23
우럭매운탕,600,406.82,52.15,17.03,52.15,17.03,11.24,1.08
전복탕,600,196.85,26.8,3.0,26.8,3.0,15.8,1.3
조기매운탕,600,384.38,35.1,19.4,35.1,19.4,17.3,4.3
해물탕,600,267.81,39.8,4.7,39.8,4.7,16.6,0.8
고구마맛탕,200,491.0,3.3,11.0,3.3,11.0,94.6,38.7
고구마튀김,100,252.96,2.72,11.87,2.72,11.87,33.8,7.72
고추튀김,100,202.0,7.6,12.6,7.6,12.6,14.6,2.3
닭튀김,300,903.0,65.2,49.7,65.2,49.7,48.8,1.5
등심돈가스,200,623.83,32.99,37.54,32.99,37.54,38.49,3.66
미꾸라지튀김,100,387.49,10.89,25.39,10.89,25.39,28.85,0.3
생선까스,200,653.44,24.33,41.1,24.33,41.1,46.56,1.96
안심돈가스,200,651.75,33.28,42.4,33.28,42.4,34.25,2.77
양념치킨,200,552.0,35.5,26.8,35.5,26.8,42.3,12.5
쥐포튀김,100,356.91,9.62,16.49,9.62,16.49,42.5,7.96
치즈돈가스,250,755.37,42.02,46.69,42.02,46.69,41.76,3.57
치킨까스,200,593.0,27.91,33.92,27.91,33.92,44.02,4.15
대구포,100,140.84,31.97,0.4,31.97,0.4,2.33,0.0
매작과,30,123.86,2.25,3.95,2.25,3.95,19.83,4.93
산자,30,109.71,0.69,0.93,0.69,0.93,24.65,9.4
송화다식,30,110.83,2.49,1.34,2.49,1.34,22.19,8.0
약과,30,119.73,1.26,1.43,1.26,1.43,25.47,5.07
유과,30,127.09,0.84,3.85,0.84,3.85,22.27,7.24
가래떡,100,195.16,3.92,0.51,3.92,0.51,43.73,0.0
깨송편,100,219.01,4.65,3.23,4.65,3.23,42.83,1.98
꿀떡,100,228.48,3.74,1.73,3.74,1.73,49.48,0.29
모듬찰떡,100,218.16,6.78,2.44,6.78,2.44,42.27,2.98
백설기,100,229.5,3.71,1.45,3.71,1.45,50.4,0.11
쑥절편,100,192.12,7.72,2.42,7.72,2.42,34.87,0.25
약식,100,219.87,4.21,2.45,4.21,2.45,45.24,13.24
인절미,100,242.26,5.64,2.16,5.64,2.16,50.07,6.35
증편,100,200.1,3.17,1.2,3.17,1.2,44.15,3.19
찐감자,200,140.18,4.32,0.31,4.32,0.31,30.02,1.71
찐고구마,200,277.31,3.34,0.47,3.34,0.47,64.94,32.64
찐옥수수,200,370.54,13.36,4.84,13.36,4.84,68.39,4.72
참깨경단,100,239.92,6.28,6.72,6.28,6.72,38.58,0.61
팥시루떡,100,224.23,3.77,1.85,3.77,1.85,48.13,0.04
팥찹쌀떡,100,294.75,5.06,2.53,5.06,2.53,62.93,25.95
가자미구이,200,245.31,37.4,10.04,37.4,10.04,1.32,0.0
간장양념닭다리구이,300,740.27,68.9,46.94,68.9,46.94,10.56,13.13
갈치구이,200,275.69,43.07,10.95,43.07,10.95,1.2,0.0
고등어구이,200,551.8,47.65,39.95,47.65,39.95,0.4,0.45
고등어석쇠구이,200,679.62,46.75,51.37,46.75,51.37,7.57,0.0
굴비구이,150,291.73,28.02,19.9,28.02,19.9,0.14,0.37
꽁치구이,200,604.84,49.36,43.37,49.36,43.37,4.27,0.0
닭고기대파꼬치구이,170,416.63,30.34,24.99,30.34,24.99,17.59,2.82
닭구이,340,872.3,89.1,45.54,89.1,45.54,26.52,0.0
닭발구이,220,431.43,39.92,20.71,39.92,20.71,21.34,0.68
돼지갈비구이,300,881.09,84.72,55.61,84.72,55.61,10.43,14.43
돼지고기산적,170,339.25,49.41,14.56,49.41,14.56,2.64,0.1
돼지불고기,200,449.57,29.71,33.15,29.71,33.15,8.1,9.26
등심스테이크,200,388.0,60.44,16.13,60.44,16.13,0.28,0.0
런천미트구이,160,484.35,28.09,39.01,28.09,39.01,5.23,2.73
뱅어포구이,70,262.0,24.06,10.62,24.06,10.62,17.55,11.14
버섯구이,80,41.71,4.13,1.1,4.13,1.1,3.82,0.09
삼겹살고추장구이,200,805.66,28.42,65.66,28.42,65.66,25.25,11.45
삼겹살구이,200,933.52,45.11,83.37,45.11,83.37,0.69,0.0
삼치구이,200,355.16,42.83,19.14,42.83,19.14,2.89,0.43
새송이버섯구이,80,66.92,3.43,1.77,3.43,1.77,9.33,3.63
새우구이,180,260.76,42.13,7.99,42.13,7.99,5.07,0.06
쇠갈비구이,300,722.95,77.73,43.66,77.73,43.66,4.76,0.78
쇠곱창구이,150,275.96,22.33,17.59,22.33,17.59,7.07,1.67
쇠불고기,200,339.22,32.82,19.32,32.82,19.32,8.51,6.48
안심스테이크,200,366.42,69.63,9.65,69.63,9.65,0.25,0.0
오리고기구이,200,586.08,48.12,39.39,48.12,39.39,9.77,0.0
오리불고기,250,361.52,16.87,22.62,16.87,22.62,22.62,15.73
장어고추장구이,100,258.89,19.82,17.21,19.82,17.21,6.18,0.44
조기구이,180,318.2,34.8,19.54,34.8,19.54,0.79,0.0
조미김,5,23.5,1.02,1.51,1.02,1.51,1.45,0.01
쥐포구이,70,238.58,21.67,0.25,21.67,0.25,37.42,23.15
참치머리구이,180,346.8,47.81,16.16,47.81,16.16,2.52,0.0
치킨데리야끼,340,707.64,56.23,30.65,56.23,30.65,51.71,0.39
키조개구이,180,234.13,31.38,3.72,31.38,3.72,18.79,6.48
표고버섯구이,80,79.6,3.47,0.85,3.47,0.85,14.51,1.12
함박스테이크,200,347.37,24.2,21.45,24.2,21.45,14.38,0.11
햄구이,170,577.05,26.02,51.39,26.02,51.39,2.61,3.26
갈비탕,670,363.24,57.0,13.83,57.0,13.83,2.68,0.77
감자된장국,400,98.19,4.34,2.41,4.34,2.41,14.78,3.09
감잣국,400,82.47,3.59,1.05,3.59,1.05,14.67,3.41
곰탕,600,145.15,20.57,6.69,20.57,6.69,0.66,0.0
굴무국,500,123.09,12.04,1.82,12.04,1.82,14.63,0.72
근대된장국,400,38.84,3.49,1.56,3.49,1.56,2.71,3.31
김치콩나물국,400,48.33,3.27,1.86,3.27,1.86,4.61,1.97
김칫국,400,90.78,5.36,3.03,5.36,3.03,10.52,0.13
꼬리곰탕,500,135.9,22.51,3.22,22.51,3.22,4.23,0.0
냉이된장국,400,86.47,6.85,2.65,6.85,2.65,8.81,1.18
달걀국,400,52.37,3.73,2.94,3.73,2.94,2.74,0.0
닭개장,700,142.98,19.17,2.97,19.17,2.97,9.88,4.0
닭곰탕,650,330.4,48.8,9.24,48.8,9.24,13.01,1.93
대합미역국,400,44.84,4.93,1.8,4.93,1.8,2.24,0.05
도가니탕,500,198.17,41.76,1.63,41.76,1.63,4.1,0.0
동태국,400,66.87,9.66,0.64,9.66,0.64,5.61,0.0
메밀묵국,400,87.38,3.99,1.59,3.99,1.59,14.26,1.12
무시래기된장국,400,61.11,5.22,0.86,5.22,0.86,8.11,0.0
미역국,400,46.36,2.58,2.45,2.58,2.45,3.49,1.08
미역냉국,350,128.81,0.66,2.34,0.66,2.34,26.28,15.7
미역된장국,400,96.16,6.25,3.86,6.25,3.86,9.1,2.43
미역오이냉국,350,21.8,1.31,0.52,1.31,0.52,2.98,2.42
배추된장국,400,79.08,5.85,1.6,5.85,1.6,10.33,0.0
북엇국,400,111.03,15.56,3.93,15.56,3.93,3.36,0.46
뼈해장국,800,206.01,25.55,7.77,25.55,7.77,8.46,5.07
사골국,400,220.99,22.25,9.67,22.25,9.67,11.24,0.0
삼계탕,900,911.39,96.09,43.19,96.09,43.19,34.57,4.03
새우미역국,400,63.22,4.35,1.84,4.35,1.84,7.31,0.0
새우탕,500,163.1,25.84,2.19,25.84,2.19,10.0,0.3
선짓국(선지해장국),600,173.84,23.18,5.73,23.18,5.73,7.39,0.0
설렁탕,500,118.37,21.3,2.88,21.3,2.88,1.8,0.0
쇠고기무국,400,61.53,5.3,2.54,5.3,2.54,4.38,0.0
쇠고기미역국,400,52.03,7.42,1.03,7.42,1.03,3.28,2.08
쇠고기배춧국,400,62.29,7.34,1.63,7.34,1.63,4.57,0.0
순댓국,600,509.46,14.1,10.47,14.1,10.47,89.71,1.58
순두부달걀탕,350,102.39,6.23,7.14,6.23,7.14,3.29,0.0
시금치된장국,400,37.98,4.07,0.67,4.07,0.67,3.91,0.44
쑥된장국,400,60.64,4.88,1.87,4.88,1.87,6.08,2.92
아욱된장국,400,81.83,9.1,2.23,9.1,2.23,6.34,0.44
애호박된장국,400,122.91,13.35,5.23,13.35,5.23,5.62,1.97
어묵국,350,106.95,5.2,3.61,5.2,3.61,13.41,0.25
얼갈이배춧국,400,36.23,2.0,1.62,2.0,1.62,3.41,0.22
오이냉국,350,38.17,1.47,2.4,1.47,2.4,2.67,3.11
오징어국,500,91.91,11.1,3.67,11.1,3.67,3.63,1.2
우거지곰탕,350,88.55,8.29,2.1,8.29,2.1,9.11,1.17
우거지된장국,400,78.61,11.08,2.35,11.08,2.35,3.29,2.5
육개장,440,130.33,16.21,4.37,16.21,4.37,6.54,3.33
일본된장국,200,20.6,1.42,1.46,1.42,1.46,0.45,0.51
재첩국,350,81.91,2.33,1.0,2.33,1.0,15.9,0.0
조갯국,400,62.72,6.67,3.57,6.67,3.57,0.99,0.71
콩나물국,400,24.66,2.95,0.35,2.95,0.35,2.44,0.65
콩나물된장국,400,123.17,10.31,4.45,10.31,4.45,10.46,2.11
토란국,400,62.09,4.01,0.49,4.01,0.49,10.42,1.07
해물된장국,400,111.58,8.38,3.9,8.38,3.9,10.73,1.79
호박잎된장국,350,23.1,1.41,1.11,1.41,1.11,1.88,0.25
홍합무국,350,87.05,2.76,7.11,2.76,7.11,3.0,0.83
갓김치,40,16.53,1.03,0.54,1.03,0.54,1.88,0.47
고들빼기김치,50,35.27,1.5,0.69,1.5,0.69,5.76,2.2
깍두기,50,16.4,0.78,0.53,0.78,0.53,2.12,1.27
깻잎김치,50,31.15,1.41,0.86,1.41,0.86,4.46,2.02
나박김치,100,9.82,0.46,0.38,0.46,0.38,1.15,0.34
돌나물물김치,400,19.78,1.25,0.31,1.25,0.31,3.0,1.4
동치미,200,27.21,0.58,0.74,0.58,0.74,4.55,2.9
배추김치,40,10.66,0.68,0.31,0.68,0.31,1.27,0.95
백김치,90,16.56,0.92,0.51,0.92,0.51,2.06,0.7
보쌈김치,90,27.21,1.97,0.65,1.97,0.65,3.36,1.52
부추김치,50,23.33,1.34,0.58,1.34,0.58,3.18,2.04
얼갈이배추김치,80,50.46,1.27,1.16,1.27,1.16,8.75,0.3
열무김치,40,10.71,0.72,0.49,0.72,0.49,0.86,0.17
오이김치,70,26.54,1.44,0.56,1.44,0.56,3.95,1.66
오이소박이,100,32.38,1.73,0.86,1.73,0.86,4.43,3.4
총각김치,70,22.89,0.98,0.52,0.98,0.52,3.57,1.34
파김치,30,13.32,0.77,0.58,0.77,0.58,1.26,0.45
가죽나물무침,80,60.54,4.66,1.08,4.66,1.08,8.04,3.05
가지나물무침,50,17.95,0.71,0.75,0.71,0.75,2.09,1.17
건취나물무침,50,44.4,1.81,2.7,1.81,2.7,3.2,0.0
고구마줄기나물무침,50,41.64,0.49,3.5,0.49,3.5,2.05,0.0
고사리나물무침,50,44.97,1.89,2.76,1.89,2.76,3.14,0.25
고춧잎나물무침,90,79.55,3.97,4.22,3.97,4.22,6.43,1.36
깻잎나물무침,50,38.76,1.34,2.59,1.34,2.59,2.52,1.02
냉이나물무침,60,66.3,3.01,1.84,3.01,1.84,9.42,6.27
도라지나물무침,50,65.04,1.24,3.76,1.24,3.76,6.56,0.45
머위대나물무침,50,28.95,1.98,1.28,1.98,1.28,2.38,0.17
무나물무침,50,10.56,0.31,0.23,0.31,0.23,1.82,1.65
방풍나물무침,80,60.76,3.51,1.38,3.51,1.38,8.59,2.33
배추나물무침,80,49.19,1.61,1.75,1.61,1.75,6.76,4.99
비름나물무침,80,58.48,2.77,3.24,2.77,3.24,4.56,0.69
숙주나물무침,50,17.5,1.11,0.79,1.11,0.79,1.48,0.79
시금치나물무침,50,34.28,1.87,2.23,1.87,2.23,1.68,0.05
시래기나물무침,50,56.84,2.16,3.64,2.16,3.64,3.87,0.27
씀바귀나물무침,90,87.63,3.48,1.56,3.48,1.56,14.91,1.15
